difficulty,word,len,vrlen,brownfq,reuterfq,weblio,binglog,yahoolog,googlelog
3,dismiss,7,0.2857142857142857,0,0,1.0,7.250420002,9.012837225,9.012837225
3,liberty,7,0.2857142857142857,0,0,1.0,8.033423755,10.40260524,10.40260524
3,sadly,5,0.2,0,0,1.0,7.5797835970000005,10.24748226,10.1048284
3,absence,7,0.42857142857142855,0,0,4.0,7.096910013,7.986323777000001,8.008600172000001
3,display,7,0.2857142857142857,0,0,1.0,7.28780173,9.012837225,9.008600172000001
3,license,7,0.42857142857142855,0,0,1.0,7.342422681,9.338456493999999,9.26245109
3,safely,6,0.3333333333333333,0,0,1.0,7.404833717000001,9.390935107,9.303196057000001
3,absolute,8,0.5,0,0,2.0,7.271841607000001,9.096910012999999,8.764176132000001
3,distribution,12,0.4166666666666667,0,0,1.0,7.133538907999999,9.136720567000001,9.117271296
3,lid,3,0.3333333333333333,0,0,1.0,7.257678575,9.619093331,9.51054501
3,sake,4,0.5,0,0,1.0,7.260071387999999,9.609594409,9.610660163
3,academic,8,0.5,0,0,1.0,7.264817823,9.519827994,9.515873844
3,document,8,0.375,0,0,1.0,7.283301229,9.532754379,9.536558442999999
3,lifestyle,9,0.3333333333333333,0,0,1.0,7.348304862999999,10.03261876,9.736396502
3,sales,5,0.4,0,4,1.0,7.403120521,10.15654915,9.828015064
3,access,6,0.3333333333333333,0,0,1.0,7.532754379,10.06669855,10.02734961
3,doing,5,0.4,4,0,1.0,7.206825876,9.193124597999999,9.178976947
3,lightly,7,0.14285714285714285,0,0,1.0,7.235528447,9.584331224,9.525044807
3,salesman,8,0.375,0,0,1.0,7.267171727999999,9.7930916,9.574031267999999
3,accompany,9,0.3333333333333333,1,0,1.0,7.294466226,9.784617293,9.6599162
3,domestic,8,0.375,0,1,1.0,7.294466226,9.45331834,9.396199347
3,lightning,9,0.2222222222222222,0,0,1.0,7.309630167000001,9.966610987000001,9.742725131
3,sample,6,0.3333333333333333,0,0,1.0,7.369215857,9.833784375,9.824125834
3,according,9,0.3333333333333333,2,0,1.0,7.779596491,10.08707121,10.09272064
3,dramatic,8,0.375,0,0,1.0,8.053078442999999,10.40260524,10.40260524
3,lily,4,0.25,0,0,1.0,7.075546961000001,8.352182518,8.330413773
3,sandal,6,0.3333333333333333,0,0,1.0,7.133538907999999,9.037426498,9.037426498
3,achieve,7,0.5714285714285714,0,0,1.0,7.198657087000001,9.29666519,9.290034611
3,drawer,6,0.3333333333333333,0,0,1.0,7.201397124,9.33243846,9.315970345
3,link,4,0.25,0,0,1.0,7.204119982999999,9.096910012999999,9.271841607
3,satisfy,7,0.2857142857142857,0,0,1.0,7.2121876039999995,9.285557309,9.372912003
3,addition,8,0.5,0,1,1.0,7.2121876039999995,9.330413773,9.33243846
3,drawing,7,0.2857142857142857,0,0,1.0,7.225309282,9.250420002,9.23299611
3,listener,8,0.375,0,0,1.0,7.235528447,9.526339277,9.514547752999999
3,saucer,6,0.5,0,0,1.0,7.240549248,9.505149978,9.514547752999999
3,additional,10,0.5,0,2,1.0,7.271841607000001,9.562292864,9.567026366
3,drugstore,9,0.3333333333333333,0,0,1.0,7.276461804,9.544068044,9.517195897999999
3,liter,5,0.4,0,0,1.0,7.281033367,9.46834733,9.431363764
3,sausage,7,0.5714285714285714,0,0,1.0,7.28780173,9.977266212,9.969881643999999
3,admit,5,0.4,0,0,1.0,7.294466226,9.852479994,9.677606953
3,drum,4,0.25,0,0,1.0,7.322219295,9.394451681,9.401400541000001
3,literature,10,0.5,0,0,1.0,7.334453751,9.857935265,9.561101384
